A,B,C,b_limite,Volumen,Area,Energia
4.6,0.4,6.15,7.68,102.3148,140.3508,18.386502134006445
4.7,0.4,6.2,7.78,103.0775,141.8123,18.314041942820747
3.95,0.45,5.6,6.852,104.2998,134.6231,31.93706008552333
4.0,0.45,5.6,6.88,102.9784,134.0345,19.652716850295615
4.0,0.45,5.65,6.922,106.725,136.8703,19.697714013457087
4.05,0.45,5.65,6.95,105.3727,136.2702,19.634764556892634
4.1,0.45,5.65,6.98,103.9948,135.6646,19.572201763688142
4.1,0.45,5.7,7.02,107.8005,138.5219,19.617157885591748
4.15,0.45,5.65,7.01,102.591,135.0354,19.51017210221846
4.15,0.45,5.7,7.05,106.3908,137.9047,31.829242637615213
4.15,0.45,5.75,7.09,110.2622,140.7905,31.85894751357407
4.2,0.45,5.7,7.08,104.9551,137.2634,19.49395633700311
4.2,0.45,5.75,7.12,108.8206,140.1612,31.81823491384119
4.25,0.45,5.7,7.11,103.4929,136.5975,19.433356764381195
4.25,0.45,5.75,7.15,107.3525,139.5078,31.778222692964558
4.3,0.45,5.7,7.14,102.0042,135.9061,19.37364180175191
4.3,0.45,5.75,7.18,105.8574,138.8297,19.418207858977542
4.3,0.45,5.8,7.22,109.7833,141.7686,19.462511858937535
4.35,0.45,5.75,7.21,104.3358,138.1257,19.35925639762253
4.35,0.45,5.8,7.248,108.2554,141.0604,19.403377827221977
4.4,0.45,5.75,7.24,102.7866,137.3949,19.301393486682613
4.4,0.45,5.8,7.28,106.7002,140.3612,19.345182478840403
4.45,0.45,5.8,7.31,105.1174,139.6174,19.288102226746844
4.5,0.45,5.8,7.34,103.5067,138.8459,19.232330220908853
4.5,0.45,5.85,7.38,107.4806,141.8564,19.27510878827183
4.55,0.45,5.85,7.41,105.8356,141.0716,19.220134916415454
4.6,0.45,5.85,7.44,104.1622,140.2573,19.166698827896422
4.65,0.45,5.85,7.472,102.4599,139.4291,31.549577525882167
4.7,0.45,5.9,7.542,104.751,141.644,19.104765672826172
4.75,0.45,5.9,7.574,102.984,140.7698,31.51555663367997
4.1,0.5,5.35,6.74,102.0099,132.8552,32.2224403457295
4.15,0.5,5.4,6.81,104.4975,135.1631,20.185331565228193
4.2,0.5,5.4,6.84,102.7684,134.3435,20.13054840401549
4.2,0.5,5.45,6.88,107.0224,137.4889,20.172583163228374
4.25,0.5,5.45,6.91,105.2537,136.6546,20.118777032881734
4.25,0.5,5.5,6.95,109.585,139.8332,20.16016908697369
