    A       B       C     b_limite       Volumen           Area Superficial
  -5.000   0.700  -1.600    5.2480               NaN      1.043011E+00
  -5.000   0.700  -1.500    5.2200               NaN      8.081972E-01
  -5.000   0.700  -1.400    5.1920               NaN      6.125333E-01
  -5.000   0.700  -1.300    5.1660               NaN      4.553502E-01
  -5.000   0.700  -1.200    5.1400               NaN      3.287629E-01
  -5.000   0.700  -1.100    5.1180               NaN      2.323489E-01
  -5.000   0.700  -1.000    5.0980               NaN      1.585200E-01
  -5.000   0.700  -0.900    5.0800               NaN      1.045159E-01
  -5.000   0.700  -0.800    5.0620               NaN      6.468514E-02
  -5.000   0.700  -0.700    5.0480               NaN      3.820264E-02
  -5.000   0.700  -0.600    5.0340               NaN      2.014633E-02
  -5.000   0.700  -0.500    5.0240               NaN      9.713581E-03
  -5.000   0.700  -0.400    5.0140               NaN      3.839750E-03
  -5.000   0.700  -0.300    5.0080               NaN      1.194581E-03
  -5.000   0.700  -0.200    5.0020               NaN      1.849973E-04
  -5.000   0.700  -0.100    5.0000               NaN      1.283397E-05
  -5.000   0.700   0.000    4.9980               NaN      0.000000E+00
  -5.000   0.700   0.100    5.0000               NaN      1.283397E-05
  -5.000   0.700   0.200    5.0020               NaN      1.849973E-04
  -5.000   0.700   0.300    5.0080               NaN      1.194581E-03
  -5.000   0.700   0.400    5.0140               NaN      3.839750E-03
  -5.000   0.700   0.500    5.0240               NaN      9.713581E-03
  -5.000   0.700   0.600    5.0340               NaN      2.014633E-02
  -5.000   0.700   0.700    5.0480               NaN      3.820264E-02
  -5.000   0.700   0.800    5.0620               NaN      6.468514E-02
  -5.000   0.700   0.900    5.0800               NaN      1.045159E-01
  -5.000   0.700   1.000    5.0980               NaN      1.585200E-01
  -5.000   0.700   1.100    5.1180               NaN      2.323489E-01
  -5.000   0.700   1.200    5.1400               NaN      3.287629E-01
  -5.000   0.700   1.300    5.1660               NaN      4.553503E-01
  -5.000   0.700   1.400    5.1920               NaN      6.125335E-01
  -5.000   0.700   1.500    5.2200               NaN      8.081973E-01
  -5.000   0.700   1.600    5.2480               NaN      1.043011E+00
  -5.000   0.700   1.700    5.2800               NaN      1.332011E+00
  -5.000   0.700   1.800    5.3140               NaN      1.678255E+00
  -5.000   0.700   1.900    5.3480               NaN      2.080074E+00
  -5.000   0.700   2.000    5.3840               NaN      2.556984E+00
  -5.000   0.700   2.100    5.4220               NaN      3.109395E+00
  -5.000   0.700   2.200    5.4620               NaN      3.748636E+00
  -5.000   0.700   2.300    5.5020               NaN      4.479181E+00
  -5.000   0.700   2.400    5.5460               NaN      5.320919E+00
  -5.000   0.700   2.500    5.5900               NaN      6.269927E+00
  -5.000   0.700   2.600    5.6340               NaN      7.339969E+00
  -5.000   0.700   2.700    5.6820               NaN      8.549863E+00
  -5.000   0.700   2.800    5.7300               NaN      9.902184E+00
  -5.000   0.700   2.900    5.7800               NaN      1.141108E+01
  -5.000   0.700   3.000    5.8300               NaN      1.308822E+01
  -5.000   0.700   3.100    5.8820               NaN      1.494978E+01
  -5.000   0.700   3.200    5.9360               NaN      1.702134E+01
  -5.000   0.700   3.300    5.9900               NaN      1.929283E+01
  -5.000   0.700   3.400    6.0460               NaN      2.179939E+01
  -5.000   0.700   3.500    6.1020               NaN      2.455210E+01
  -5.000   0.700   3.600    6.1600               NaN      2.757247E+01
  -5.000   0.700   3.700    6.2200               NaN      3.088314E+01
  -5.000   0.700   3.800    6.2800               NaN      3.450744E+01
  -5.000   0.700   3.900    6.3400               NaN      3.845914E+01
  -5.000   0.700   4.000    6.4020               NaN      4.277100E+01
  -5.000   0.800  -4.000    6.4020               NaN      5.034282E+01
  -5.000   0.800  -3.900    6.3400               NaN      4.528041E+01
  -5.000   0.800  -3.800    6.2800               NaN      4.063783E+01
  -5.000   0.800  -3.700    6.2200               NaN      3.637679E+01
  -5.000   0.800  -3.600    6.1600               NaN      3.248298E+01
  -5.000   0.800  -3.500    6.1020               NaN      2.892961E+01
  -5.000   0.800  -3.400    6.0460               NaN      2.569014E+01
  -5.000   0.800  -3.300    5.9900               NaN      2.273919E+01
  -5.000   0.800  -3.200    5.9360               NaN      2.006492E+01
  -5.000   0.800  -3.100    5.8820               NaN      1.762373E+01
  -5.000   0.800  -3.000    5.8300               NaN      1.543091E+01
  -5.000   0.800  -2.900    5.7800               NaN      1.345508E+01
  -5.000   0.800  -2.800    5.7300               NaN      1.167693E+01
  -5.000   0.800  -2.700    5.6820               NaN      1.008296E+01
  -5.000   0.800  -2.600    5.6340               NaN      8.656284E+00
  -5.000   0.800  -2.500    5.5900               NaN      7.395057E+00
  -5.000   0.800  -2.400    5.5460               NaN      6.276137E+00
  -5.000   0.800  -2.300    5.5020               NaN      5.282881E+00
  -5.000   0.800  -2.200    5.4620               NaN      4.421648E+00
  -5.000   0.800  -2.100    5.4220               NaN      3.667657E+00
  -5.000   0.800  -2.000    5.3840               NaN      3.016189E+00
  -5.000   0.800  -1.900    5.3480               NaN      2.453483E+00
  -5.000   0.800  -1.800    5.3140               NaN      1.979999E+00
  -5.000   0.800  -1.700    5.2800               NaN      1.571178E+00
  -5.000   0.800  -1.600    5.2480               NaN      1.230073E+00
  -5.000   0.800  -1.500    5.2200               NaN      9.534915E-01
  -5.000   0.800  -1.400    5.1920               NaN      7.225791E-01
  -5.000   0.800  -1.300    5.1660               NaN      5.371636E-01
  -5.000   0.800  -1.200    5.1400               NaN      3.876172E-01
  -5.000   0.800  -1.100    5.1180               NaN      2.739748E-01
  -5.000   0.800  -1.000    5.0980               NaN      1.868982E-01
  -5.000   0.800  -0.900    5.0800               NaN      1.232903E-01
  -5.000   0.800  -0.800    5.0620               NaN      7.623974E-02
  -5.000   0.800  -0.700    5.0480               NaN      4.506239E-02
  -5.000   0.800  -0.600    5.0340               NaN      2.371060E-02
  -5.000   0.800  -0.500    5.0240               NaN      1.143022E-02
