A	B	C	b_limite	Volumen	Area
3.600000	0.300000	6.600000	7.516000	90.219160	128.814500
3.600000	0.300000	6.700000	7.604000	95.004200	132.968400
3.600000	0.300000	6.800000	7.694000	99.940020	137.189700
3.600000	0.300000	6.900000	7.782000	105.029000	141.456500
3.600000	0.300000	7.000000	7.870000	110.273300	145.779500
3.600000	0.300000	7.100000	7.960000	115.675600	150.171100
3.600000	0.300000	7.200000	8.048000	121.237600	154.607700
3.600000	0.300000	7.300000	8.138000	126.962100	159.113400
3.700000	0.300000	6.500000	7.478000	84.454960	124.291400
3.700000	0.300000	6.600000	7.566000	89.080540	128.402700
3.700000	0.300000	6.700000	7.652000	93.854690	132.558600
3.700000	0.300000	6.800000	7.740000	98.779660	136.780800
3.700000	0.300000	6.900000	7.828000	103.857700	141.058900
3.700000	0.300000	7.000000	7.916000	109.091100	145.393100
3.700000	0.300000	7.100000	8.006000	114.481900	149.795300
3.700000	0.300000	7.200000	8.094000	120.033100	154.242400
3.700000	0.300000	7.300000	8.184000	125.746300	158.758300
3.800000	0.300000	6.700000	7.702000	92.661660	132.125000
3.800000	0.300000	6.800000	7.788000	97.575620	136.349500
3.800000	0.300000	6.900000	7.876000	102.642600	140.639800
3.800000	0.300000	7.000000	7.964000	107.864700	144.986200
3.800000	0.300000	7.100000	8.052000	113.244600	149.388200
3.800000	0.300000	7.200000	8.140000	118.784100	153.846300
3.800000	0.300000	7.300000	8.228000	124.486100	158.360700
3.900000	0.300000	6.800000	7.838000	96.327220	135.893800
3.900000	0.300000	6.900000	7.924000	101.382800	140.186600
3.900000	0.300000	7.000000	8.012000	106.593600	144.545400
3.900000	0.300000	7.100000	8.100000	111.962100	148.959900
3.900000	0.300000	7.200000	8.188000	117.490100	153.429900
3.900000	0.300000	7.300000	8.276000	123.180400	157.955900
4.000000	0.300000	6.900000	7.974000	100.077500	139.708500
4.000000	0.300000	7.000000	8.062000	105.276500	144.081000
