    A       B       C     b_limite       Volumen           Area Superficial
  -2.000  -1.800   0.400    2.0380               NaN     -9.129135E-02
  -2.000  -1.800   0.500    2.0600               NaN     -2.259993E-01
  -2.000  -1.800   0.600    2.0880               NaN     -4.765854E-01
  -2.000  -1.800   0.700    2.1180               NaN     -8.766429E-01
  -2.000  -1.800   0.800    2.1540               NaN     -1.501425E+00
  -2.000  -1.800   0.900    2.1920               NaN     -2.402522E+00
  -2.000  -1.800   1.000    2.2360               NaN     -3.680881E+00
  -2.000  -1.800   1.100    2.2820               NaN     -5.396758E+00
  -2.000  -1.800   1.200    2.3320               NaN     -7.669414E+00
  -2.000  -1.800   1.300    2.3840               NaN     -1.057633E+01
  -2.000  -1.800   1.400    2.4400               NaN     -1.428182E+01
  -2.000  -1.800   1.500    2.4980               NaN     -1.891920E+01
  -2.000  -1.800   1.600    2.5600               NaN     -2.466060E+01
  -2.000  -1.800   1.700    2.6240               NaN     -3.173306E+01
  -2.000  -1.800   1.800    2.6900               NaN     -4.039113E+01
  -2.000  -1.800   1.900    2.7580               NaN     -5.106438E+01
  -2.000  -1.800   2.000    2.8280      3.338372E+01     -6.506249E+01
  -2.000  -1.800   2.100    2.8980      4.854073E+01     -7.601156E+01
  -2.000  -1.800   2.200    2.9720      6.536062E+01     -8.715658E+01
  -2.000  -1.800   2.300    3.0460      8.392854E+01     -9.899741E+01
  -2.000  -1.800   2.400    3.1240      1.043296E+02     -1.117683E+02
  -2.000  -1.800   2.500    3.2000      1.266481E+02     -1.251376E+02
  -2.000  -1.800   2.600    3.2800      1.509685E+02     -1.394063E+02
  -2.000  -1.800   2.700    3.3600      1.773745E+02     -1.543236E+02
  -2.000  -1.800   2.800    3.4400      2.059504E+02     -1.698569E+02
  -2.000  -1.800   2.900    3.5220      2.367796E+02     -1.861264E+02
  -2.000  -1.800   3.000    3.6040      2.699453E+02     -2.029794E+02
  -2.000  -1.700  -2.000    2.8280      2.977746E+01     -5.988086E+01
  -2.000  -1.700  -1.900    2.7580               NaN     -4.689901E+01
  -2.000  -1.700  -1.800    2.6900               NaN     -3.706137E+01
  -2.000  -1.700  -1.700    2.6240               NaN     -2.909899E+01
  -2.000  -1.700  -1.600    2.5600               NaN     -2.260377E+01
  -2.000  -1.700  -1.500    2.4980               NaN     -1.733541E+01
  -2.000  -1.700  -1.400    2.4400               NaN     -1.308289E+01
  -2.000  -1.700  -1.300    2.3840               NaN     -9.686551E+00
  -2.000  -1.700  -1.200    2.3320               NaN     -7.022813E+00
  -2.000  -1.700  -1.100    2.2820               NaN     -4.941351E+00
  -2.000  -1.700  -1.000    2.2360               NaN     -3.369957E+00
  -2.000  -1.700  -0.900    2.1920               NaN     -2.199670E+00
  -2.000  -1.700  -0.800    2.1540               NaN     -1.374528E+00
  -2.000  -1.700  -0.700    2.1180               NaN     -8.025957E-01
  -2.000  -1.700  -0.600    2.0880               NaN     -4.362375E-01
  -2.000  -1.700  -0.500    2.0600               NaN     -2.069502E-01
  -2.000  -1.700  -0.400    2.0380               NaN     -8.362521E-02
  -2.000  -1.700  -0.300    2.0220               NaN     -2.667511E-02
  -2.000  -1.700  -0.200    2.0080               NaN     -4.815053E-03
  -2.000  -1.700  -0.100    2.0020               NaN     -2.746673E-04
  -2.000  -1.700   0.000    1.9980               NaN      0.000000E+00
  -2.000  -1.700   0.100    2.0020               NaN     -2.746673E-04
  -2.000  -1.700   0.200    2.0080               NaN     -4.815053E-03
  -2.000  -1.700   0.300    2.0220               NaN     -2.667511E-02
  -2.000  -1.700   0.400    2.0380               NaN     -8.362521E-02
  -2.000  -1.700   0.500    2.0600               NaN     -2.069504E-01
  -2.000  -1.700   0.600    2.0880               NaN     -4.362375E-01
  -2.000  -1.700   0.700    2.1180               NaN     -8.025959E-01
  -2.000  -1.700   0.800    2.1540               NaN     -1.374528E+00
  -2.000  -1.700   0.900    2.1920               NaN     -2.199671E+00
  -2.000  -1.700   1.000    2.2360               NaN     -3.369957E+00
  -2.000  -1.700   1.100    2.2820               NaN     -4.941351E+00
  -2.000  -1.700   1.200    2.3320               NaN     -7.022813E+00
  -2.000  -1.700   1.300    2.3840               NaN     -9.686553E+00
  -2.000  -1.700   1.400    2.4400               NaN     -1.308290E+01
  -2.000  -1.700   1.500    2.4980               NaN     -1.733541E+01
  -2.000  -1.700   1.600    2.5600               NaN     -2.260377E+01
  -2.000  -1.700   1.700    2.6240               NaN     -2.909899E+01
  -2.000  -1.700   1.800    2.6900               NaN     -3.706137E+01
  -2.000  -1.700   1.900    2.7580               NaN     -4.689902E+01
  -2.000  -1.700   2.000    2.8280      2.977746E+01     -5.988086E+01
  -2.000  -1.700   2.100    2.8980      4.329712E+01     -7.035493E+01
  -2.000  -1.700   2.200    2.9720      5.830010E+01     -8.086413E+01
  -2.000  -1.700   2.300    3.0460      7.486221E+01     -9.193746E+01
  -2.000  -1.700   2.400    3.1240      9.305942E+01     -1.038053E+02
  -2.000  -1.700   2.500    3.2000      1.129669E+02     -1.161851E+02
  -2.000  -1.700   2.600    3.2800      1.346602E+02     -1.293550E+02
  -2.000  -1.700   2.700    3.3600      1.582138E+02     -1.430972E+02
  -2.000  -1.700   2.800    3.4400      1.837028E+02     -1.573882E+02
  -2.000  -1.700   2.900    3.5220      2.112015E+02     -1.723385E+02
  -2.000  -1.700   3.000    3.6040      2.407842E+02     -1.878143E+02
  -2.000  -1.600  -2.000    2.8280      2.637727E+01     -5.491492E+01
  -2.000  -1.600  -1.900    2.7580               NaN     -4.291271E+01
  -2.000  -1.600  -1.800    2.6900               NaN     -3.387694E+01
  -2.000  -1.600  -1.700    2.6240               NaN     -2.658110E+01
  -2.000  -1.600  -1.600    2.5600               NaN     -2.063829E+01
  -2.000  -1.600  -1.500    2.4980               NaN     -1.582236E+01
  -2.000  -1.600  -1.400    2.4400               NaN     -1.193774E+01
  -2.000  -1.600  -1.300    2.3840               NaN     -8.836823E+00
  -2.000  -1.600  -1.200    2.3320               NaN     -6.405403E+00
  -2.000  -1.600  -1.100    2.2820               NaN     -4.506528E+00
  -2.000  -1.600  -1.000    2.2360               NaN     -3.073111E+00
  -2.000  -1.600  -0.900    2.1920               NaN     -2.005998E+00
  -2.000  -1.600  -0.800    2.1540               NaN     -1.253382E+00
  -2.000  -1.600  -0.700    2.1180               NaN     -7.319022E-01
  -2.000  -1.600  -0.600    2.0880               NaN     -3.977222E-01
  -2.000  -1.600  -0.500    2.0600               NaN     -1.887620E-01
  -2.000  -1.600  -0.400    2.0380               NaN     -7.630385E-02
  -2.000  -1.600  -0.300    2.0220               NaN     -2.433424E-02
  -2.000  -1.600  -0.200    2.0080               NaN     -4.401860E-03
  -2.000  -1.600  -0.100    2.0020               NaN     -2.516897E-04
  -2.000  -1.600   0.000    1.9980               NaN      0.000000E+00
  -2.000  -1.600   0.100    2.0020               NaN     -2.516897E-04
  -2.000  -1.600   0.200    2.0080               NaN     -4.401860E-03
  -2.000  -1.600   0.300    2.0220               NaN     -2.433424E-02
  -2.000  -1.600   0.400    2.0380               NaN     -7.630385E-02
  -2.000  -1.600   0.500    2.0600               NaN     -1.887622E-01
  -2.000  -1.600   0.600    2.0880               NaN     -3.977222E-01
  -2.000  -1.600   0.700    2.1180               NaN     -7.319024E-01
  -2.000  -1.600   0.800    2.1540               NaN     -1.253383E+00
  -2.000  -1.600   0.900    2.1920               NaN     -2.005998E+00
  -2.000  -1.600   1.000    2.2360               NaN     -3.073111E+00
  -2.000  -1.600   1.100    2.2820               NaN     -4.506528E+00
  -2.000  -1.600   1.200    2.3320               NaN     -6.405403E+00
  -2.000  -1.600   1.300    2.3840               NaN     -8.836825E+00
  -2.000  -1.600   1.400    2.4400               NaN     -1.193774E+01
  -2.000  -1.600   1.500    2.4980               NaN     -1.582236E+01
  -2.000  -1.600   1.600    2.5600               NaN     -2.063829E+01
  -2.000  -1.600   1.700    2.6240               NaN     -2.658110E+01
  -2.000  -1.600   1.800    2.6900               NaN     -3.387695E+01
  -2.000  -1.600   1.900    2.7580               NaN     -4.291271E+01
  -2.000  -1.600   2.000    2.8280      2.637727E+01     -5.491492E+01
  -2.000  -1.600   2.100    2.8980      3.835317E+01     -6.489949E+01
  -2.000  -1.600   2.200    2.9720      5.164297E+01     -7.477243E+01
  -2.000  -1.600   2.300    3.0460      6.631400E+01     -8.509026E+01
  -2.000  -1.600   2.400    3.1240      8.243323E+01     -9.607898E+01
  -2.000  -1.600   2.500    3.2000      1.000675E+02     -1.075017E+02
  -2.000  -1.600   2.600    3.2800      1.192838E+02     -1.196131E+02
  -2.000  -1.600   2.700    3.3600      1.401479E+02     -1.322274E+02
  -2.000  -1.600   2.800    3.4400      1.627263E+02     -1.453277E+02
  -2.000  -1.600   2.900    3.5220      1.870850E+02     -1.590151E+02
  -2.000  -1.600   3.000    3.6040      2.132901E+02     -1.731739E+02
  -2.000  -1.500  -2.000    2.8280      2.318315E+01     -5.016157E+01
  -2.000  -1.500  -1.900    2.7580               NaN     -3.910324E+01
  -2.000  -1.500  -1.800    2.6900               NaN     -3.083620E+01
  -2.000  -1.500  -1.700    2.6240               NaN     -2.417808E+01
  -2.000  -1.500  -1.600    2.5600               NaN     -1.876320E+01
  -2.000  -1.500  -1.500    2.4980               NaN     -1.437929E+01
  -2.000  -1.500  -1.400    2.4400               NaN     -1.084580E+01
  -2.000  -1.500  -1.300    2.3840               NaN     -8.026716E+00
  -2.000  -1.500  -1.200    2.3320               NaN     -5.816879E+00
  -2.000  -1.500  -1.100    2.2820               NaN     -4.092084E+00
  -2.000  -1.500  -1.000    2.2360               NaN     -2.790199E+00
  -2.000  -1.500  -0.900    2.1920               NaN     -1.821414E+00
  -2.000  -1.500  -0.800    2.1540               NaN     -1.137929E+00
  -2.000  -1.500  -0.700    2.1180               NaN     -6.645285E-01
  -2.000  -1.500  -0.600    2.0880               NaN     -3.610211E-01
  -2.000  -1.500  -0.500    2.0600               NaN     -1.714254E-01
  -2.000  -1.500  -0.400    2.0380               NaN     -6.932361E-02
  -2.000  -1.500  -0.300    2.0220               NaN     -2.210280E-02
  -2.000  -1.500  -0.200    2.0080               NaN     -4.007319E-03
  -2.000  -1.500  -0.100    2.0020               NaN     -2.297225E-04
  -2.000  -1.500   0.000    1.9980               NaN      0.000000E+00
  -2.000  -1.500   0.100    2.0020               NaN     -2.297225E-04
  -2.000  -1.500   0.200    2.0080               NaN     -4.007319E-03
  -2.000  -1.500   0.300    2.0220               NaN     -2.210280E-02
  -2.000  -1.500   0.400    2.0380               NaN     -6.932361E-02
  -2.000  -1.500   0.500    2.0600               NaN     -1.714256E-01
  -2.000  -1.500   0.600    2.0880               NaN     -3.610211E-01
  -2.000  -1.500   0.700    2.1180               NaN     -6.645287E-01
  -2.000  -1.500   0.800    2.1540               NaN     -1.137929E+00
  -2.000  -1.500   0.900    2.1920               NaN     -1.821414E+00
  -2.000  -1.500   1.000    2.2360               NaN     -2.790199E+00
  -2.000  -1.500   1.100    2.2820               NaN     -4.092084E+00
  -2.000  -1.500   1.200    2.3320               NaN     -5.816879E+00
  -2.000  -1.500   1.300    2.3840               NaN     -8.026718E+00
  -2.000  -1.500   1.400    2.4400               NaN     -1.084580E+01
  -2.000  -1.500   1.500    2.4980               NaN     -1.437929E+01
  -2.000  -1.500   1.600    2.5600               NaN     -1.876320E+01
  -2.000  -1.500   1.700    2.6240               NaN     -2.417808E+01
  -2.000  -1.500   1.800    2.6900               NaN     -3.083620E+01
  -2.000  -1.500   1.900    2.7580               NaN     -3.910325E+01
  -2.000  -1.500   2.000    2.8280      2.318315E+01     -5.016157E+01
  -2.000  -1.500   2.100    2.8980      3.370881E+01     -5.964130E+01
  -2.000  -1.500   2.200    2.9720      4.538937E+01     -6.887800E+01
  -2.000  -1.500   2.300    3.0460      5.828365E+01     -7.845239E+01
  -2.000  -1.500   2.400    3.1240      7.245118E+01     -8.858604E+01
  -2.000  -1.500   2.500    3.2000      8.795006E+01     -9.908343E+01
  -2.000  -1.500   2.600    3.2800      1.048392E+02     -1.101773E+02
  -2.000  -1.500   2.700    3.3600      1.231769E+02     -1.217096E+02
  -2.000  -1.500   2.800    3.4400      1.430212E+02     -1.336699E+02
  -2.000  -1.500   2.900    3.5220      1.644301E+02     -1.461503E+02
  -2.000  -1.500   3.000    3.6040      1.874620E+02     -1.590510E+02
  -2.000  -1.400  -2.000    2.8280      2.019510E+01     -4.561722E+01
  -2.000  -1.400  -1.900    2.7580               NaN     -3.546812E+01
  -2.000  -1.400  -1.800    2.6900               NaN     -2.793725E+01
  -2.000  -1.400  -1.700    2.6240               NaN     -2.188846E+01
  -2.000  -1.400  -1.600    2.5600               NaN     -1.697735E+01
  -2.000  -1.400  -1.500    2.4980               NaN     -1.300538E+01
  -2.000  -1.400  -1.400    2.4400               NaN     -9.806442E+00
  -2.000  -1.400  -1.300    2.3840               NaN     -7.255770E+00
  -2.000  -1.400  -1.200    2.3320               NaN     -5.256906E+00
  -2.000  -1.400  -1.100    2.2820               NaN     -3.697779E+00
  -2.000  -1.400  -1.000    2.2360               NaN     -2.521057E+00
  -2.000  -1.400  -0.900    2.1920               NaN     -1.645811E+00
  -2.000  -1.400  -0.800    2.1540               NaN     -1.028103E+00
  -2.000  -1.400  -0.700    2.1180               NaN     -6.004360E-01
  -2.000  -1.400  -0.600    2.0880               NaN     -3.261133E-01
  -2.000  -1.400  -0.500    2.0600               NaN     -1.549306E-01
